root@notebook-1898717724949078018-scngsz9kqh-56749:~# python model.py 
Training Original BotRGCN:
Epoch 057 | Loss: 0.0579 | Val Acc: 0.9792 | Val F1: 0.9776
Epoch 058 | Loss: 0.0585 | Val Acc: 0.9792 | Val F1: 0.9776
Epoch 059 | Loss: 0.0576 | Val Acc: 0.9783 | Val F1: 0.9766
Epoch 060 | Loss: 0.0578 | Val Acc: 0.9783 | Val F1: 0.9766
Epoch 061 | Loss: 0.0577 | Val Acc: 0.9783 | Val F1: 0.9766
Epoch 062 | Loss: 0.0521 | Val Acc: 0.9783 | Val F1: 0.9766
Epoch 063 | Loss: 0.0545 | Val Acc: 0.9802 | Val F1: 0.9786
Epoch 064 | Loss: 0.0558 | Val Acc: 0.9783 | Val F1: 0.9766
Epoch 065 | Loss: 0.0536 | Val Acc: 0.9783 | Val F1: 0.9766
Epoch 066 | Loss: 0.0556 | Val Acc: 0.9783 | Val F1: 0.9767
Epoch 067 | Loss: 0.0545 | Val Acc: 0.9783 | Val F1: 0.9767
Epoch 068 | Loss: 0.0519 | Val Acc: 0.9764 | Val F1: 0.9746
Epoch 069 | Loss: 0.0509 | Val Acc: 0.9764 | Val F1: 0.9746
Epoch 070 | Loss: 0.0572 | Val Acc: 0.9792 | Val F1: 0.9777
Epoch 071 | Loss: 0.0494 | Val Acc: 0.9783 | Val F1: 0.9767
Epoch 072 | Loss: 0.0475 | Val Acc: 0.9792 | Val F1: 0.9777
